trip_date,total_trips,avg_trip_distance,avg_trip_duration_min,avg_fare,total_revenue
2022-01-01,62835,5.97,12.7,21.21,1332847.16
2022-01-02,57918,6.24,13.42,23.0,1332373.38
2022-01-03,71812,7.74,12.55,21.11,1515922.91
2022-01-04,74018,3.47,12.51,19.98,1479041.47
2022-01-05,74043,5.94,12.56,19.51,1444747.09
2022-01-06,79345,5.06,12.27,18.8,1492041.07
2022-01-07,71093,3.03,11.35,24.1,1713060.02
2022-01-08,82610,3.15,11.85,18.66,1541784.76
2022-01-09,63561,5.88,11.92,20.23,1285861.12
2022-01-10,73186,4.78,12.43,18.98,1389423.64
2022-01-11,77052,8.17,12.18,18.13,1397006.95
2022-01-12,79732,2.87,12.54,18.38,1465381.8
2022-01-13,84335,2.95,13.06,18.73,1579340.15
2022-01-14,93131,7.11,13.2,19.06,1775057.93
2022-01-15,88061,8.88,11.82,18.3,1611808.76
2022-01-16,72209,4.55,11.91,19.18,1385082.38
2022-01-17,63054,5.0,12.12,20.6,1299024.73
2022-01-18,84012,4.96,13.2,19.14,1608238.82
2022-01-19,85977,3.64,13.07,18.42,1583303.42
2022-01-20,90189,8.58,12.77,18.38,1657947.37
2022-01-21,100385,4.22,13.1,18.36,1843098.21
2022-01-22,95908,3.24,12.23,18.0,1726799.75
2022-01-23,76371,3.43,12.36,19.72,1506241.14
2022-01-24,77955,3.35,12.76,18.92,1474765.99
2022-01-25,86740,2.8,12.92,18.33,1589911.14
2022-01-26,96029,4.97,13.26,18.21,1748427.38
2022-01-27,99092,3.59,14.54,19.14,1896921.91
2022-01-28,95185,6.31,15.34,19.69,1874105.47
2022-01-29,34155,20.34,12.36,17.5,597663.58
2022-01-30,70730,7.34,12.83,20.15,1425222.17
2022-01-31,85250,8.84,14.61,20.36,1735635.1
2022-02-01,91738,5.6,14.98,19.71,1808438.65
2022-02-02,91949,9.34,16.2,19.99,1838330.15
2022-02-03,103802,3.55,15.43,19.39,2012728.5
2022-02-04,109520,6.94,13.26,18.37,2012078.89
2022-02-05,116116,9.37,12.8,18.21,2114597.9
2022-02-06,87470,5.64,12.82,19.91,1741820.74
2022-02-07,88210,3.12,14.68,19.88,1753655.42
2022-02-08,102039,5.38,14.0,18.86,1924382.12
2022-02-09,105372,4.54,14.11,18.87,1988081.58
2022-02-10,112023,3.65,14.66,19.49,2183546.29
2022-02-11,116871,4.75,15.15,19.96,2332957.49
2022-02-12,118844,5.94,14.37,19.08,2267917.05
2022-02-13,92359,4.16,12.38,19.66,1815876.06
2022-02-14,109752,7.7,13.76,19.36,2124386.78
2022-02-15,109755,10.0,14.2,19.37,2125687.26
2022-02-16,109461,6.39,14.09,19.25,2107573.42
2022-02-17,112286,5.66,14.72,19.77,2220291.26
2022-02-18,115394,4.68,15.72,20.62,2379193.12
2022-02-19,113510,5.41,13.27,19.07,2164076.17
2022-02-20,94582,7.62,13.22,20.18,1908960.74
2022-02-21,85175,4.85,13.4,21.51,1831820.6
2022-02-22,100662,4.39,14.52,20.16,2029167.04
2022-02-23,111355,4.01,14.5,19.94,2220239.91
2022-02-24,119033,6.34,14.68,19.96,2376063.7
2022-02-25,117374,5.78,13.8,19.71,2313801.49
2022-02-26,122211,4.66,13.8,19.44,2375472.54
2022-02-27,99402,11.39,13.95,21.19,2106024.63
2022-02-28,101503,3.4,14.68,20.76,2107511.49
2022-03-01,113143,3.72,14.9,20.27,2293367.66
2022-03-02,119006,4.34,14.75,20.11,2393440.74
2022-03-03,128415,4.73,14.91,20.17,2590396.57
2022-03-04,127577,7.38,15.3,20.34,2594577.14
2022-03-05,119490,3.09,13.81,19.37,2315068.03
2022-03-06,95137,8.26,13.57,21.49,2044551.11
2022-03-07,98923,8.54,14.42,20.87,2064155.82
2022-03-08,116357,5.31,15.01,20.27,2358592.59
2022-03-09,119204,9.31,15.66,20.41,2432372.99
2022-03-10,123979,4.95,16.54,21.3,2640260.59
2022-03-11,128520,7.87,15.91,21.11,2712951.47
2022-03-12,120886,4.78,12.55,18.99,2295887.1
2022-03-13,99387,5.19,14.06,21.34,2121176.32
2022-03-14,97906,9.2,14.87,21.61,2115770.78
2022-03-15,111898,7.73,15.24,20.84,2331878.87
2022-03-16,118834,5.65,15.69,20.94,2488973.07
2022-03-17,115684,5.78,16.31,21.51,2488344.38
2022-03-18,127206,6.02,16.39,21.71,2761723.42
2022-03-19,119756,7.39,14.33,20.32,2432971.66
2022-03-20,99392,4.54,15.34,22.99,2285320.74
2022-03-21,99744,4.95,14.81,21.83,2177119.21
2022-03-22,112473,4.72,14.83,20.65,2322895.0
2022-03-23,121187,5.03,14.57,20.41,2472878.78
2022-03-24,123548,4.26,15.05,20.74,2561866.08
2022-03-25,123096,5.38,15.45,21.24,2614390.77
2022-03-26,126385,7.02,13.92,19.85,2508139.63
2022-03-27,106383,5.36,13.82,21.59,2296671.98
2022-03-28,111401,4.98,14.42,20.96,2334611.49
2022-03-29,122980,4.16,14.91,20.43,2513018.92
2022-03-30,125520,6.06,15.13,20.53,2576454.35
2022-03-31,127483,4.6,15.92,21.26,2709664.39
