trip_date,forecast_total_trips
2022-04-01,133280.01994938438
2022-04-02,123233.11259980615
2022-04-03,108280.77026083156
2022-04-04,113371.0567823475
2022-04-05,123911.689658556
2022-04-06,128161.20024376677
2022-04-07,133461.61148718893
2022-04-08,136720.78995022894
2022-04-09,126673.88260065073
2022-04-10,111721.54026167614
2022-04-11,116811.82678319207
2022-04-12,127352.45965940059
2022-04-13,131601.97024461132
2022-04-14,136902.38148803348
2022-04-15,140161.55995107352
2022-04-16,130114.6526014953
2022-04-17,115162.31026252071
2022-04-18,120252.59678403665
2022-04-19,130793.22966024515
2022-04-20,135042.7402454559
2022-04-21,140343.15148887807
2022-04-22,143602.3299519181
2022-04-23,133555.42260233985
2022-04-24,118603.08026336528
2022-04-25,123693.36678488122
2022-04-26,134233.99966108974
2022-04-27,138483.5102463005
2022-04-28,143783.92148972265
2022-04-29,147043.09995276266
2022-04-30,136996.19260318443
